file_name,color_feature[0],color_feature[1],color_feature[2],color_feature[3],color_feature[4],color_feature[5],color_feature[6],color_feature[7],color_feature[8],color_feature[9],color_feature[10],color_feature[11],color_feature[12],color_feature[13],color_feature[14],color_feature[15],color_feature[16],color_feature[17],color_feature[18],color_feature[19],color_feature[20],color_feature[21],color_feature[22],color_feature[23],shape_feature[0],shape_feature[1],shape_feature[2],shape_feature[3],shape_feature[4],shape_feature[5],shape_feature[6],texture_feature[0],texture_feature[1],texture_feature[2],texture_feature[3],texture_feature[4],texture_feature[5],texture_feature[6],texture_feature[7],texture_feature[8],texture_feature[9]
ISIC_0024306.jpg,0.963200808,0.024691889,0.063968763,0.154963449,0.200281665,0.058448508,0,0,0,0,0,0.01197597,0.88971746,0.45635438,0,0,0,0,0,0.008971865,0.999958932,0.001245885,0,0,0.092388885,0.22957473,0.333212246,0.413579451,0.787199348,0.544987792,0.812241872,0.015777778,0.024703704,0.018055556,0.044937037,0.060085185,0.060088889,0.037759259,0.028996296,0.662618519,0.046977778
ISIC_0024307.jpg,0.912738383,0,0.00021448,0.105755851,0.330043584,0.216323003,4.64E-05,0,0,0,0,0.013400499,0.822393179,0.568761706,0,0,0,0,0,0.008275043,0.999965727,0,0,0,0.09686496,0.269595276,0.361840083,0.456831705,0.875854545,0.609380491,0.868369514,0.020507407,0.034914815,0.022533333,0.050333333,0.0574,0.065085185,0.0453,0.039148148,0.600781481,0.063996296
ISIC_0024308.jpg,0.959253013,0.048326936,0.186067164,0.16796571,0.10975346,0.05117467,1.13E-05,0,0,0,0,0.013482891,0.875935733,0.482239425,0,0,0,0,0,0.011317305,0.99954015,0.028133567,0,0,0.085522314,0.182542033,0.331169645,0.373340165,0.768135234,0.483623119,0.725615385,0.017874074,0.02497037,0.024788889,0.060862963,0.07537037,0.059833333,0.034896296,0.029103704,0.627755556,0.044544444
ISIC_0024309.jpg,0.948831081,5.46E-06,0.094337076,0.207370117,0.21861282,0.005116273,0,0,0,0,0,0.010672765,0.884942114,0.465578586,0,0,0,0,0,0.007169371,0.99997431,0,0,0,0.091930302,0.227113029,0.332453983,0.376979869,0.731751054,0.494190557,0.767143401,0.014422222,0.025174074,0.0172,0.046574074,0.056514815,0.065740741,0.040848148,0.03062963,0.655040741,0.047855556
ISIC_0024310.jpg,0.987148464,0.010136923,0.052134123,0.094362475,0.10778366,0.04682247,0.001805865,2.89E-05,0,0,0,0.00813714,0.99584496,0.090700537,0,0,0,0,0,0.012309623,0.999575257,0.026415121,0,0,0.092566251,0.219829601,0.311162841,0.347745756,0.697043995,0.46236057,0.677682432,0.016881481,0.019311111,0.017925926,0.03267037,0.041296296,0.037262963,0.023033333,0.020344444,0.755722222,0.035551852
ISIC_0024311.jpg,0.968287766,0,0.003676193,0.125254944,0.203888863,0.071734056,1.02E-05,0,0,0,0,0.014072777,0.924620509,0.38062951,0,0,0,0,0,0.011639035,0.999759197,0.018604908,0,0,0.092619232,0.202734865,0.350728078,0.384158043,0.751898451,0.509163875,0.774855398,0.014225926,0.022011111,0.017314815,0.043607407,0.057422222,0.053048148,0.030548148,0.023688889,0.698944444,0.039188889
ISIC_0024312.jpg,0.88677913,5.77E-06,0.003731536,0.026409127,0.256599367,0.383494675,0.000190326,0,0,0,0,0.009485758,0.999948263,0.003680984,0,0,0,0,0,0.430986434,0.902358413,0,0,0,0.098358968,0.239490175,0.376519373,0.416537475,0.825349781,0.540729626,0.814530792,0.025714815,0.036392593,0.026188889,0.050192593,0.058344444,0.063151852,0.046348148,0.039574074,0.5868,0.067292593
ISIC_0024313.jpg,0.998542428,0.009432415,0.023923093,0.012235191,0.020145981,0.036917023,0.018255351,0,0,0,0,0.005355943,0.998738945,0.049917232,0,0,0,0,0,0.012240422,0.999896348,0.007583699,0,0,0.090817891,0.192909536,0.329384347,0.319367221,0.647126828,0.417695095,0.650872878,0.006474074,0.008185185,0.007918519,0.017,0.02062963,0.01862963,0.010866667,0.008933333,0.886718519,0.014644444
ISIC_0024314.jpg,0.997287512,0.002731898,0.00828662,0.010679615,0.03132797,0.065160528,0.00042983,0,0,0,0,0.003551536,0.999993563,0.000554114,0,0,0,0,0,0.060203929,0.998186111,0.000364682,0,0,0.09446668,0.211550787,0.314622829,0.352617489,0.692486887,0.466211757,0.690202272,0.006262963,0.007618519,0.005803704,0.014962963,0.01917037,0.020348148,0.01117037,0.009088889,0.890937037,0.014637037
ISIC_0024315.jpg,0.998837471,0.018292293,0.03724264,0.018837307,0.015684297,0.0011304,4.04E-06,0,0,0,0,0.004647375,0.999989212,0,0,0,0,0,0,0.042545199,0.999094605,0,0,0,0.087766216,0.218944823,0.290785331,0.334102661,0.646726921,0.446735907,0.673365325,0.007325926,0.007851852,0.006003704,0.010403704,0.012174074,0.012948148,0.008525926,0.008007407,0.912151852,0.014607407
