filename,color_feature[0],color_feature[1],color_feature[2],color_feature[3],color_feature[4],color_feature[5],color_feature[6],color_feature[7],color_feature[8],color_feature[9],color_feature[10],color_feature[11],color_feature[12],color_feature[13],color_feature[14],color_feature[15],color_feature[16],color_feature[17],color_feature[18],color_feature[19],color_feature[20],color_feature[21],color_feature[22],color_feature[23],shape_feature[0],shape_feature[1],shape_feature[2],shape_feature[3],shape_feature[4],shape_feature[5],shape_feature[6],texture_feature[0],texture_feature[1],texture_feature[2],texture_feature[3],texture_feature[4],texture_feature[5],texture_feature[6],texture_feature[7],texture_feature[8],texture_feature[9]
ISIC_0024306.jpg,0,0.024269968,0.063286386,0.154376522,0.253156245,0.952620387,0.000123334,0,0,0,0,0,0.097051583,0.995279372,0,0,0,0,0,0,0.999996603,0.002606769,0,0,0.096369663,0.228869882,0.406335042,0.382914884,0.780357925,0.497522368,0.785731228,0.052733333,0.079777778,0.055385185,0.099344444,0.112822222,0.119966667,0.100859259,0.094740741,0.117188889,0.167181481
ISIC_0024307.jpg,0,0,0.000194403,0.097264707,0.417604595,0.903407991,0.000147116,0,0,0,0,0,0.191052169,0.981579959,0,0,0,0,0,3.70E-06,1,3.33E-05,0,0,0.09752371,0.231649192,0.451089983,0.427492619,0.871409979,0.54354443,0.872214542,0.0541,0.082666667,0.057281481,0.095948148,0.108733333,0.117003704,0.1006,0.095777778,0.11857037,0.169318519
ISIC_0024308.jpg,8.88E-05,0.064088561,0.2420277,0.221451312,0.1547001,0.667630494,0.647002339,0,0,0,0,0,0.829666197,0.558259845,0,0,0,0,0,0,0.999359071,0.035797238,0,0,0.096369418,0.229221619,0.385849339,0.396133775,0.82557523,0.511252268,0.787161118,0.049014815,0.077303704,0.0576,0.118740741,0.137822222,0.122359259,0.096518519,0.089648148,0.102403704,0.148588889
ISIC_0024309.jpg,0,0,0.092241444,0.205619767,0.9557814,0.188928246,3.74E-05,0,0,0,0,0,0.315873623,0.948801219,0,0,0,0,0,1.11E-05,1,0,0,0,0.095645704,0.228118633,0.384195469,0.365064506,0.749184509,0.493876098,0.741967737,0.05092963,0.076751852,0.056866667,0.100233333,0.112007407,0.126855556,0.103666667,0.093907407,0.1155,0.163281481
ISIC_0024310.jpg,0,0.024994625,0.066380285,0.119906187,0.311106563,0.937474132,0.070330679,9.07E-05,0,0,0,0,0.992259562,0.124181308,0,0,0,0,0,0.048974562,0.998198807,0.034650415,0,0,0.09778737,0.233567337,0.412493111,0.41455067,0.831844819,0.535920768,0.834594154,0.052033333,0.067592593,0.068585185,0.126444444,0.164185185,0.135977778,0.093903704,0.078540741,0.083081481,0.129655556
ISIC_0024311.jpg,0,0,0.004252668,0.143695742,0.24212718,0.92136085,0.267959058,0,0,0,0,0,0.508719087,0.860932589,0,0,0,0,0,0.000537426,0.999767423,0.021561377,0,0,0.098336235,0.23341842,0.479399805,0.398776452,0.843699971,0.538890191,0.842146694,0.052111111,0.080925926,0.0517,0.096303704,0.113096296,0.119574074,0.095992593,0.094281481,0.124533333,0.171481481
ISIC_0024312.jpg,0,9.35E-06,0.00321232,0.022336612,0.225769505,0.973178625,0.037977383,0,0,0,0,0,0.999989927,0.004490399,0,0,0,0,0,0.989793837,0.142506257,0,0,0,0.098958575,0.234827553,0.422152718,0.418093838,0.850579524,0.594384602,0.839664511,0.050614815,0.074211111,0.0496,0.102688889,0.1133,0.135485185,0.097796296,0.094574074,0.125177778,0.156551852
ISIC_0024313.jpg,0.001350194,0.010986108,0.028184079,0.014585006,0.026085936,0.236031339,0.970526993,0.023589535,0,0,0,0,0.998764575,0.049693007,0,0,0,0,1.74E-05,0.98396039,0.178091124,0.010268809,0,0,0.101609812,0.241611797,0.442692539,0.430413941,0.867798048,0.552783276,0.883046994,0.043081481,0.072544444,0.042655556,0.104822222,0.113811111,0.147655556,0.100633333,0.0954,0.127840741,0.151555556
ISIC_0024314.jpg,4.26E-05,0.003439836,0.010930719,0.019814594,0.080423936,0.979069293,0.185556889,0,0,0,0,0,0.999999464,0.001045536,0,0,0,0,7.49E-05,0.997808874,0.066159911,0.000634864,0,0,0.099786799,0.236211439,0.422712491,0.434372525,0.876619539,0.556070055,0.864096213,0.044777778,0.069096296,0.042581481,0.102551852,0.123622222,0.141377778,0.0971,0.098062963,0.126207407,0.154622222
ISIC_0024315.jpg,0.008111726,0.034099404,0.074983709,0.109909363,0.701986969,0.69877243,0.000512637,0,0,0,0,0,1,4.82E-05,0,0,0,0,0,0.996400774,0.084767602,0,0,0,0.097532436,0.233855197,0.375160803,0.420544037,0.826081914,0.557623753,0.821468367,0.059311111,0.075548148,0.057107407,0.105996296,0.130474074,0.118859259,0.093488889,0.09282963,0.106585185,0.1598
ISIC_0024316.jpg,0,0,0.000332355,0.270583242,0.45474264,0.848524451,0.000128277,0,0,0,0,0,0.26970309,0.962943554,0,0,0,0,0,0,0.989098608,0.147254527,0,0,0.096143038,0.228052633,0.403024966,0.405075454,0.810995475,0.519138105,0.819837713,0.049118519,0.07352963,0.059725926,0.115514815,0.136074074,0.128481481,0.099022222,0.087081481,0.101155556,0.150296296
ISIC_0024317.jpg,6.21E-06,0.013134534,0.19479993,0.167841211,0.177073896,0.193296358,0.930048048,0.001342034,0,0,0,7.51E-06,0.999905646,0.013736835,0,0,0,0,0,0.812915325,0.582373977,0.003029691,0,0,0.097265018,0.231265789,0.409289792,0.407587969,0.818922909,0.523776261,0.824057089,0.046562963,0.067751852,0.055903704,0.110351852,0.142862963,0.14612963,0.101162963,0.086622222,0.098537037,0.144114815
ISIC_0024318.jpg,0,0,0.000101838,0.131903768,0.347530097,0.896381319,0.241505086,0,0,0,0,0,0.999986112,0.005272021,0,0,0,0,0,0.019203126,0.999815583,1.51E-05,0,0,0.098037243,0.231736961,0.403553512,0.400911091,0.812080147,0.529294671,0.805631949,0.0316,0.053448148,0.055281481,0.133651852,0.185240741,0.17977037,0.104088889,0.071051852,0.076418519,0.109448148
